FID,X Coordinate,Y Coordinate,RASTERVALU,Label
0,523970.1957,7528952.705,22.2301006,1
1,505571.3313,7513580.866,192.1390076,1
2,483726.6242,7490998.805,-117.2809982,1
3,506473.3979,7506227.384,3.03842,1
4,505742.796,7503441.964,-40.3588982,1
5,482907.1298,7489910.022,-79.9095993,1
6,482309.6363,7487996.53,-35.9361992,1
7,488778.3995,7476712.596,280.7999878,1
8,502118.7164,7482547.453,84.8051987,1
9,500886.1358,7483647.498,115.1620026,1
10,504869.9844,7492297.985,126.2789993,1
11,509627.568,7515890.944,212.3609924,1
12,502528.061,7512172.557,-154.4230042,1
13,499431.8827,7482872.82,63.091301,1
14,506021.4729,7509135.842,537.9459839,1
15,484574.2189,7486411.816,-44.3376999,1
16,482474.3484,7486065.446,20.2229996,1
17,505059.8464,7496832.585,-198.8769989,1
18,509326.8371,7482026.642,70.0289993,1
19,502966.9438,7486603.041,27.7304993,1
20,503417.5647,7485092.135,164.6730042,1
21,500475.2757,7481990.804,136.0449982,1
22,490182.1465,7487838.35,285.2929993,1
23,499874.6493,7480851.491,177.7640076,1
24,494933.3708,7481263.265,191.8329926,1
25,484040.8806,7476264.172,325.9379883,1
